Name,ISSN,Journal Impact Factor,eISSN
ETHICS,0014-1704,10.8,1539-297X
ETHICS,0014-1704,10.8,1539-297X
NANO LETTERS,1530-6984,10.8,1530-6992
NANO LETTERS,1530-6984,10.8,1530-6992
NANO LETTERS,1530-6984,10.8,1530-6992
NANO LETTERS,1530-6984,10.8,1530-6992
NANO LETTERS,1530-6984,10.8,1530-6992
NANO LETTERS,1530-6984,10.8,1530-6992
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,1040-8436,10.8,1547-6561
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,1040-8436,10.8,1547-6561
AMERICAN ECONOMIC REVIEW,0002-8282,10.7,1944-7981
ANAESTHESIA,0003-2409,10.7,1365-2044
Journal of Advanced Research,2090-1232,10.7,2090-1224
MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,10.7,1537-1719
MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,10.7,1537-1719
MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,10.7,1537-1719
FOOD HYDROCOLLOIDS,0268-005X,10.7,1873-7137
FOOD HYDROCOLLOIDS,0268-005X,10.7,1873-7137
IEEE Internet of Things Journal,2327-4662,10.6,2327-4662
IEEE Internet of Things Journal,2327-4662,10.6,2327-4662
IEEE Internet of Things Journal,2327-4662,10.6,2327-4662
Biological Psychiatry,0006-3223,10.6,1873-2402
Biological Psychiatry,0006-3223,10.6,1873-2402
IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,10.6,1558-254X
IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,10.6,1558-254X
IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,10.6,1558-254X
IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,10.6,1558-254X
IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,10.6,1558-254X
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,1366-5545,10.6,1878-5794
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,1366-5545,10.6,1878-5794
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,1366-5545,10.6,1878-5794
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,1366-5545,10.6,1878-5794
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,1366-5545,10.6,1878-5794
Journal of Supply Chain Management,1523-2409,10.6,1745-493X
Journal of Service Management,1757-5818,10.6,1757-5826
IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,10.6,1941-0042
IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,10.6,1941-0042
Clinical and Translational Medicine,2001-1326,10.6,2001-1326
Clinical and Translational Medicine,2001-1326,10.6,2001-1326
Virtual and Physical Prototyping,1745-2759,10.6,1745-2767
Virtual and Physical Prototyping,1745-2759,10.6,1745-2767
MOLECULAR ASPECTS OF MEDICINE,0098-2997,10.6,1872-9452
MOLECULAR ASPECTS OF MEDICINE,0098-2997,10.6,1872-9452
CLINICAL NUCLEAR MEDICINE,0363-9762,10.6,1536-0229
Annual Review of Sociology,0360-0572,10.5,1545-2115
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,10.5,1948-0989
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,10.5,1948-0989
BRITISH JOURNAL OF PSYCHIATRY,0007-1250,10.5,1472-1465
BRITISH JOURNAL OF PSYCHIATRY,0007-1250,10.5,1472-1465
GENES & DEVELOPMENT,0890-9369,10.5,1549-5477
GENES & DEVELOPMENT,0890-9369,10.5,1549-5477
GENES & DEVELOPMENT,0890-9369,10.5,1549-5477
Plant Communications,2590-3462,10.5,2590-3462
Plant Communications,2590-3462,10.5,2590-3462
CEMENT & CONCRETE COMPOSITES,0958-9465,10.5,1873-393X
CEMENT & CONCRETE COMPOSITES,0958-9465,10.5,1873-393X
ENTREPRENEURSHIP THEORY AND PRACTICE,1042-2587,10.5,1540-6520
Annual Review of Medicine,0066-4219,10.5,1545-326X
SLEEP MEDICINE REVIEWS,1087-0792,10.5,1532-2955
SLEEP MEDICINE REVIEWS,1087-0792,10.5,1532-2955
JOURNAL OF MANAGEMENT STUDIES,0022-2380,10.5,1467-6486
JOURNAL OF MANAGEMENT STUDIES,0022-2380,10.5,1467-6486
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,0737-6782,10.5,1540-5885
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,0737-6782,10.5,1540-5885
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,0737-6782,10.5,1540-5885
Annual Review of Microbiology,0066-4227,10.5,1545-3251
Finance Research Letters,1544-6123,10.4,1544-6131
Optica,2334-2536,10.4,2334-2536
Foundations and Trends in Information Retrieval,1554-0669,10.4,1554-0677
IEEE Transactions on Neural Networks and Learning Systems,2162-237X,10.4,2162-2388
IEEE Transactions on Neural Networks and Learning Systems,2162-237X,10.4,2162-2388
IEEE Transactions on Neural Networks and Learning Systems,2162-237X,10.4,2162-2388
IEEE Transactions on Neural Networks and Learning Systems,2162-237X,10.4,2162-2388
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,1536-1276,10.4,1558-2248
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,1536-1276,10.4,1558-2248
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,10.4,1930-3815
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,10.4,1930-3815
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,1538-7933,10.4,1538-7836
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,1538-7933,10.4,1538-7836
ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,10.4,1552-9924
ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,10.4,1552-9924
ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,10.4,1552-9924
Journal of Retailing and Consumer Services,0969-6989,10.4,1873-1384
Reviews in Aquaculture,1753-5123,10.4,1753-5131
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,0736-5845,10.4,1879-2537
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,0736-5845,10.4,1879-2537
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,0736-5845,10.4,1879-2537
ENERGY CONVERSION AND MANAGEMENT,0196-8904,10.4,1879-2227
ENERGY CONVERSION AND MANAGEMENT,0196-8904,10.4,1879-2227
ENERGY CONVERSION AND MANAGEMENT,0196-8904,10.4,1879-2227
BRITISH JOURNAL OF DERMATOLOGY,0007-0963,10.3,1365-2133
Human Behavior and Emerging Technologies,N/A,10.3,2578-1863
CONTEMPORARY EDUCATIONAL PSYCHOLOGY,0361-476X,10.3,1090-2384
JOURNAL OF PINEAL RESEARCH,0742-3098,10.3,1600-079X
JOURNAL OF PINEAL RESEARCH,0742-3098,10.3,1600-079X
JOURNAL OF PINEAL RESEARCH,0742-3098,10.3,1600-079X
JNCI-Journal of the National Cancer Institute,0027-8874,10.3,1460-2105
Journal of Business Logistics,0735-3766,10.3,2158-1592
JOURNAL OF ANXIETY DISORDERS,0887-6185,10.3,1873-7897
JOURNAL OF ANXIETY DISORDERS,0887-6185,10.3,1873-7897
AUTOMATION IN CONSTRUCTION,0926-5805,10.3,1872-7891
AUTOMATION IN CONSTRUCTION,0926-5805,10.3,1872-7891
INDUSTRIAL MARKETING MANAGEMENT,0019-8501,10.3,1873-2062
INDUSTRIAL MARKETING MANAGEMENT,0019-8501,10.3,1873-2062
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,10.3,1540-9309
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,10.3,1540-9309
SPACE SCIENCE REVIEWS,0038-6308,10.3,1572-9672
Materials Today Nano,2588-8420,10.3,2588-8420
Materials Today Nano,2588-8420,10.3,2588-8420
SIAM REVIEW,0036-1445,10.2,1095-7200
Resources Policy,0301-4207,10.2,1873-7641
Asian Journal of Pharmaceutical Sciences,1818-0876,10.2,1818-0876
JOURNAL OF NANOBIOTECHNOLOGY,N/A,10.2,1477-3155
JOURNAL OF NANOBIOTECHNOLOGY,N/A,10.2,1477-3155
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,1040-8398,10.2,1549-7852
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,1040-8398,10.2,1549-7852
Annual Review of Phytopathology,0066-4286,10.2,1545-2107
EDUCATIONAL PSYCHOLOGY REVIEW,1040-726X,10.1,1573-336X
BIOSCIENCE,0006-3568,10.1,1525-3244
Cancer Immunology Research,2326-6066,10.1,2326-6074
Cancer Immunology Research,2326-6066,10.1,2326-6074
HAEMATOLOGICA,0390-6078,10.1,1592-8721
Journal of Nanostructure in Chemistry,2008-9244,10.1,2193-8865
Journal of Nanostructure in Chemistry,2008-9244,10.1,2193-8865
Journal of Nanostructure in Chemistry,2008-9244,10.1,2193-8865
Applied and Computational Mathematics,1683-3511,10,1683-6154
BIOLOGICAL REVIEWS,1464-7931,10,1469-185X
CALIFORNIA MANAGEMENT REVIEW,0008-1256,10,2162-8564
CALIFORNIA MANAGEMENT REVIEW,0008-1256,10,2162-8564
THORAX,0040-6376,10,1468-3296
Swarm and Evolutionary Computation,2210-6502,10,2210-6510
Swarm and Evolutionary Computation,2210-6502,10,2210-6510
Particle and Fibre Toxicology,1743-8977,10,1743-8977
COMPUTERS IN INDUSTRY,0166-3615,10,1872-6194
JOURNAL OF RETAILING,0022-4359,10,1873-3271
,,,
Copyright (c) 2023 Clarivate ,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,
